title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
남양수산,5916,4.6,1.14,13.6732,2.7129,2.7982,2.5848,1.7789,0.41,3.26,2.09,0.8,0.59,0.49,1.6,0.41,2.3416,1.8619,1.333,1.2469,1.2059
남양수산,5916,4.6,1.67,4.6157,0,0,0.8532,0.8895,1.07,0.42,-0.58,-0.6,-0.29,-0.09,1.6,1.07,1.7844,0.7144,0.693,1.0247,1.2387
남양수산,5916,4.6,0.6,5.1665,1.919,0.9501,0,0,-0.26,0.59,1.31,-0.13,-0.72,-0.67,1.6,-0.26,0.5166,0.3294,0.7038,0.8572,0.8442
남양수산,5916,4.6,1.38,6.3468,0,1.8377,0.8532,0.8895,0.71,0.96,-0.58,0.32,-0.29,-0.09,1.6,0.71,1.8366,0.7432,1.3822,0.9491,1.0911
남양수산,5916,4.6,0.25,3.7729,0,0.9523,1.7139,0,-0.7,0.15,-0.58,-0.13,0.15,-0.67,1.6,-0.7,0.345,0.856,0.541,0.345,0.919
남양수산,5916,4.6,0.15,5.3699,0.8359,0,0,0,-0.82,0.65,0.25,-0.6,-0.72,-0.67,1.6,-0.82,-0.143,0.185,0.882,0.9804,0.9394
남양수산,5916,4.6,1,12.0305,0,12.1745,4.2065,0.8838,0.23,2.75,-0.58,5.47,1.41,-0.1,1.6,0.23,1.5475,0.7816,2.1731,1.2393,0.892
남양수산,5916,4.6,0.5,0.9127,0,1.8821,0,0,-0.39,-0.74,-0.58,0.34,-0.72,-0.67,1.6,-0.39,0.8936,0.8312,0.4724,0.8858,0.8663
남양수산,5916,4.6,-0.22,0.9231,1,0.907,1,0.8229,-1.28,-0.74,0.41,-0.15,-0.21,-0.14,1.6,-1.28,1.1072,-0.3648,0.352,0.4288,0.3392
남양수산,5916,4.6,1,4.5342,0,0,2.5103,0.8895,0.23,0.39,-0.58,-0.6,0.55,-0.09,1.6,0.23,1.0047,0.7816,0.777,1.0415,0.8943
